Code,Country,Description,Rate
93,Afghanistan,LandLine,1.5
937,Afghanistan,Mobile,1
9370,Afghanistan,Mobile,1
9375,Afghanistan,Mobile,1
9377,Afghanistan,Mobile,1
9378,Afghanistan,Mobile,1
9379,Afghanistan,Mobile,1
355,Albania,LandLine,0.1
355422,Albania,LandLine,0.1
355423,Albania,LandLine,0.1
35566,Albania,Mobile,2.5
35567,Albania,Mobile,2.5
35568,Albania,Mobile,2.5
35569,Albania,Mobile,2.5
213,Algeria,LandLine,2.3
21321,Algeria,LandLine,2.3
2135,Algeria,Mobile,2.5
2136,Algeria,Mobile,2.5
21370,Algeria,Mobile,2.5
21376,Algeria,Mobile,2.5
21377,Algeria,Mobile,2.5
213780,Algeria,Mobile,2.5
213781,Algeria,Mobile,2.5
2137899,Algeria,Mobile,2.5
21379,Algeria,Mobile,2.5
1684,American Samoa,LandLine,18
16842,American Samoa,Mobile,105
168473,American Samoa,Mobile,105
376,Andorra,LandLine,11
3763,Andorra,Mobile,11
3764,Andorra,Mobile,11
3765,Andorra,Mobile,11
3766,Andorra,Mobile,11
244,Angola,LandLine,13
2449,Angola,Mobile,113
24491,Angola,Mobile,113
24492,Angola,Mobile,113
24493,Angola,Mobile,113
24494,Angola,Mobile,113
24499,Angola,Mobile,113
1264,Anguilla,LandLine,3213
1264235,Anguilla,Mobile,2213
1264469,Anguilla,Mobile,2213
1264476,Anguilla,Mobile,2213
1264536,Anguilla,Mobile,2213
1264537,Anguilla,Mobile,2213
1264538,Anguilla,Mobile,2213
1264539,Anguilla,Mobile,2213
1264543,Anguilla,Mobile,2213
126458,Anguilla,Mobile,2213
1264581,Anguilla,Mobile,2213
1264582,Anguilla,Mobile,2213
1264583,Anguilla,Mobile,2213
1264584,Anguilla,Mobile,2213
1264729,Anguilla,Mobile,2213
1264772,Anguilla,Mobile,2213
672,Antarctica,LandLine,33
6723,Antarctica Norfolk Island,LandLine,0.25
1268,Antigua,LandLine,0
1268464,Antigua,Mobile,0
1268716,Antigua,Mobile,0
1268717,Antigua,Mobile,0
1268718,Antigua,Mobile,0
1268719,Antigua,Mobile,0
126872,Antigua,Mobile,0
1268720,Antigua,Mobile,0
1268721,Antigua,Mobile,0
1268722,Antigua,Mobile,0
1268724,Antigua,Mobile,0
1268725,Antigua,Mobile,0
1268726,Antigua,Mobile,0
1268732,Antigua,Mobile,0
1268734,Antigua,Mobile,0
1268736,Antigua,Mobile,0
1268764,Antigua,Mobile,0
126877,Antigua,Mobile,0
126878,Antigua,Mobile,0
1268783,Antigua,Mobile,0
1268785,Antigua,Mobile,0
1268788,Antigua,Mobile,0
54,Argentina,LandLine,3
5411,Argentina,LandLine,3
54221,Argentina,LandLine,3
54223,Argentina,LandLine,3
542293,Argentina,LandLine,3
54230,Argentina,LandLine,3
542302,Argentina,LandLine,3
54232,Argentina,LandLine,3
542323,Argentina,LandLine,3
542362,Argentina,LandLine,3
54237,Argentina,LandLine,3
54261,Argentina,LandLine,3
542652,Argentina,LandLine,3
542664,Argentina,LandLine,3
54291,Argentina,LandLine,3
54299,Argentina,LandLine,3
54332,Argentina,LandLine,3
54341,Argentina,LandLine,3
54342,Argentina,LandLine,3
54343,Argentina,LandLine,3
543461,Argentina,LandLine,3
543462,Argentina,LandLine,3
543464,Argentina,LandLine,3
543476,Argentina,LandLine,3
54348,Argentina,LandLine,3
543489,Argentina,LandLine,3
54351,Argentina,LandLine,3
543541,Argentina,LandLine,3
543543,Argentina,LandLine,3
543571,Argentina,LandLine,3
54358,Argentina,LandLine,3
54362,Argentina,LandLine,3
54372,Argentina,LandLine,3
543722,Argentina,LandLine,3
543783,Argentina,LandLine,3
54379,Argentina,LandLine,3
54381,Argentina,LandLine,3
54387,Argentina,LandLine,3
54387400,Argentina,LandLine,3
54387401,Argentina,LandLine,3
5438742,Argentina,LandLine,3
54387431,Argentina,LandLine,3
54387432,Argentina,LandLine,3
54387434,Argentina,LandLine,3
54387435,Argentina,LandLine,3
54387436,Argentina,LandLine,3
54387437,Argentina,LandLine,3
543874384,Argentina,LandLine,3
543874385,Argentina,LandLine,3
543874386,Argentina,LandLine,3
543874387,Argentina,LandLine,3
543874388,Argentina,LandLine,3
54387439,Argentina,LandLine,3
54387495,Argentina,LandLine,3
54387497,Argentina,LandLine,3
549,Argentina,Mobile,2
54911,Argentina,Mobile,2
374,Armenia,LandLine,0
37410,Armenia,LandLine,0
37447,Armenia,LandLine,0
3745,Armenia,Mobile,0
37455,Armenia,Mobile,0
3747,Armenia,Mobile,0
37477,Armenia,Mobile,0
3749,Armenia,Mobile,0
37491,Armenia,Mobile,0
37493,Armenia,Mobile,0
37494,Armenia,Mobile,0
37495,Armenia,Mobile,0
37496,Armenia,Mobile,0
37497,Armenia,Mobile,0
37498,Armenia,Mobile,0
37499,Armenia,Mobile,0
297,Aruba,LandLine,0
29756,Aruba,Mobile,0
29759,Aruba,Mobile,0
297600,Aruba,Mobile,0
297622,Aruba,Mobile,0
297630,Aruba,Mobile,0
297640,Aruba,Mobile,0
297641,Aruba,Mobile,0
29766,Aruba,Mobile,0
29769,Aruba,Mobile,0
29773,Aruba,Mobile,0
29774,Aruba,Mobile,0
2979,Aruba,Mobile,0
247,Ascension Island,LandLine,0
61,Australia,LandLine,0
61261,Australia,LandLine,0
61262,Australia,LandLine,0
6128,Australia,LandLine,0
6129,Australia,LandLine,0
6138,Australia,LandLine,0
6139,Australia,LandLine,0
614,Australia,Mobile,0
61401,Australia,Mobile,0
61402,Australia,Mobile,0
61403,Australia,Mobile,0
61411,Australia,Mobile,0
61412,Australia,Mobile,0
61413,Australia,Mobile,0
61421,Australia,Mobile,0
61422,Australia,Mobile,0
61423,Australia,Mobile,0
61431,Australia,Mobile,0
61432,Australia,Mobile,0
61434,Australia,Mobile,0
61435,Australia,Mobile,0
61466,Australia,Mobile,0
614685,Australia,Mobile,0
614686,Australia,Mobile,0
614687,Australia,Mobile,0
