Code,Country,Description,Rate
93,Afghanistan,,1.5
937,Afghanistan,Cellular Others,1
9370,Afghanistan,Cellular AWCC,1
9375,Afghanistan,Cellular AT,1
9377,Afghanistan,Cellular Areeba,1
9378,Afghanistan,Cellular Etisalat,1
9379,Afghanistan,Cellular Roshan,1
355,Albania,,0.1
355422,Albania,Tirana,0.1
355423,Albania,Tirana,0.1
35566,Albania,Cellular Plus,2.5
35567,Albania,Cellular Eagle,2.5
35568,Albania,Cellular AMC,2.5
35569,Albania,Cellular Vodafone,2.5
213,Algeria,,2.3
21321,Algeria,Algiers,2.3
2135,Algeria,Cellular Wataniya,2.5
2136,Algeria,Cellular,2.5
21370,Algeria,Cellular Djezzy,2.5
21376,Algeria,Cellular Djezzy,2.5
21377,Algeria,Cellular Djezzy,2.5
213780,Algeria,Cellular Djezzy,2.5
213781,Algeria,Cellular Djezzy,2.5
2137899,Algeria,Cellular Djezzy,2.5
21379,Algeria,Cellular Djezzy,2.5
1684,American Samoa,,18
16842,American Samoa,Cellular,105
168473,American Samoa,Cellular,105
376,Andorra,,11
3763,Andorra,Cellular,11
3764,Andorra,Cellular,11
3765,Andorra,Cellular,11
3766,Andorra,Cellular,11
244,Angola,,13
2449,Angola,Cellular,113
24491,Angola,Cellular Movicell,113
24492,Angola,Cellular Unitel,113
24493,Angola,Cellular Unitel,113
24494,Angola,Cellular Unitel,113
24499,Angola,Cellular Movicell,113
1264,Anguilla,,3213
1264235,Anguilla,Cellular,2213
1264469,Anguilla,Cellular,2213
1264476,Anguilla,Cellular,2213
1264536,Anguilla,Cellular,2213
1264537,Anguilla,Cellular,2213
1264538,Anguilla,Cellular,2213
1264539,Anguilla,Cellular,2213
1264543,Anguilla,Cellular,2213
126458,Anguilla,Cellular,2213
1264581,Anguilla,Cellular Digicel,2213
1264582,Anguilla,Cellular Digicel,2213
1264583,Anguilla,Cellular Digicel,2213
1264584,Anguilla,Cellular Digicel,2213
1264729,Anguilla,Cellular,2213
1264772,Anguilla,Cellular,2213
672,Antarctica,,33
6723,Antarctica Norfolk Island,,0.25
1268,Antigua,,0
1268464,Antigua,Cellular,0
1268716,Antigua,Cellular,0
1268717,Antigua,Cellular,0
1268718,Antigua,Cellular,0
1268719,Antigua,Cellular,0
126872,Antigua,Cellular,0
1268720,Antigua,Cellular Digicel,0
1268721,Antigua,Cellular Digicel,0
1268722,Antigua,Cellular Digicel,0
1268724,Antigua,Cellular Digicel,0
1268725,Antigua,Cellular Digicel,0
1268726,Antigua,Cellular Digicel,0
1268732,Antigua,Cellular,0
1268734,Antigua,Cellular,0
1268736,Antigua,Cellular,0
1268764,Antigua,Cellular,0
126877,Antigua,Cellular,0
126878,Antigua,Cellular,0
1268783,Antigua,Cellular Digicel,0
1268785,Antigua,Cellular Digicel,0
1268788,Antigua,Cellular Digicel,0
54,Argentina,,0
5411,Argentina,Buenos Aires,0
54221,Argentina,La Plata,0
54223,Argentina,Mar Del Plata,0
542293,Argentina,Cities,0
54230,Argentina,La Pampa,0
542302,Argentina,Cities,0
54232,Argentina,Pilar,0
542323,Argentina,Lujan,0
542362,Argentina,Cities,0
54237,Argentina,Cities,0
54261,Argentina,Mendoza,0
542652,Argentina,San Luis,0
542664,Argentina,San Luis,0
54291,Argentina,Bahia Blanca,0
54299,Argentina,Neuquen,0
54332,Argentina,Cities,0
54341,Argentina,Rosario,0
54342,Argentina,Santa Fe,0
54343,Argentina,Cities,0
543461,Argentina,Cities,0
543462,Argentina,Cities,0
543464,Argentina,Cities,0
543476,Argentina,Cities,0
54348,Argentina,Zarate,0
543489,Argentina,Campana,0
54351,Argentina,Cordoba,0
543541,Argentina,Cities,0
543543,Argentina,Cities,0
543571,Argentina,Cities,0
54358,Argentina,Cordoba,0
54362,Argentina,Resistencia,0
54372,Argentina,Cities,0
543722,Argentina,Resistencia,0
543783,Argentina,Cities,0
54379,Argentina,Cities,0
54381,Argentina,Tucuman,0
54387,Argentina,Salta,0
54387400,Argentina,Cities,0
54387401,Argentina,Cities,0
5438742,Argentina,Cities,0
54387431,Argentina,Cities,0
54387432,Argentina,Cities,0
54387434,Argentina,Cities,0
54387435,Argentina,Cities,0
54387436,Argentina,Cities,0
54387437,Argentina,Cities,0
543874384,Argentina,Cities,0
543874385,Argentina,Cities,0
543874386,Argentina,Cities,0
543874387,Argentina,Cities,0
543874388,Argentina,Cities,0
54387439,Argentina,Cities,0
54387495,Argentina,Cities,0
54387497,Argentina,Cities,0
549,Argentina,Cellular,0
54911,Argentina,Cellular Buenos Aires,0
374,Armenia,,0
37410,Armenia,Yerevan,0
37447,Armenia,N Karabakh,0
3745,Armenia,Cellular,0
37455,Armenia,Cellular Orange,0
3747,Armenia,Cellular,0
37477,Armenia,Cellular Vivacell,0
3749,Armenia,Cellular,0
37491,Armenia,Cellular Armentel,0
37493,Armenia,Cellular Vivacell,0
37494,Armenia,Cellular Vivacell,0
37495,Armenia,Cellular Orange,0
37496,Armenia,Cellular Armentel,0
37497,Armenia,Cellular Nagoni,0
37498,Armenia,Cellular Vivacell,0
37499,Armenia,Cellular Armentel,0
297,Aruba,,0
29756,Aruba,Cellular,0
29759,Aruba,Cellular,0
297600,Aruba,Cellular,0
297622,Aruba,Cellular,0
297630,Aruba,Cellular Digicel,0
297640,Aruba,Cellular Digicel,0
297641,Aruba,Cellular Digicel,0
29766,Aruba,Cellular,0
29769,Aruba,Cellular,0
29773,Aruba,Cellular Digicel,0
29774,Aruba,Cellular Digicel,0
2979,Aruba,Cellular,0
247,Ascension Island,,0
61,Australia,,0
61261,Australia,Canberra,0
61262,Australia,Canberra,0
6128,Australia,Sydney,0
6129,Australia,Sydney,0
6138,Australia,Melbourne,0
6139,Australia,Melbourne,0
614,Australia,Cellular,0
61401,Australia,Cellular Optus,0
61402,Australia,Cellular Optus,0
61403,Australia,Cellular Optus,0
61411,Australia,Cellular Optus,0
61412,Australia,Cellular Optus,0
61413,Australia,Cellular Optus,0
61421,Australia,Cellular Optus,0
61422,Australia,Cellular Optus,0
61423,Australia,Cellular Optus,0
61431,Australia,Cellular Optus,0
61432,Australia,Cellular Optus,0
61434,Australia,Cellular Optus,0
61435,Australia,Cellular Optus,0
61466,Australia,Cellular Optus,0
614685,Australia,Cellular Optus,0
614686,Australia,Cellular Optus,0
614687,Australia,Cellular Optus,0
614688,Australia,Cellular Optus,0
614689,Australia,Cellular Optus,0
6173,Australia,Brisbane,0
6186,Australia,Perth,0
6187,Australia,Adelaide,0
61881,Australia,Adelaide,0
61882,Australia,Adelaide,0
61883,Australia,Adelaide,0
61884,Australia,Adelaide,0
61892,Australia,Perth,0
61893,Australia,Perth,0
61894,Australia,Perth,0
43,Austria,,0
431,Austria,Vienna,0
4357,Austria,Corporate,0
4359,Austria,Corporate,0
43644,Austria,Cellular Others,0
43650,Austria,Cellular Tmobile,0
43651,Austria,Cellular Others,0
43652,Austria,Cellular Others,0
43653,Austria,Cellular Others,0
43655,Austria,Cellular Others,0
43657,Austria,Cellular Others,0
43659,Austria,Cellular Others,0
43660,Austria,Cellular Hutchinson,0
43661,Austria,Cellular Others,0
43663,Austria,Cellular Others,0
43664,Austria,Cellular A1,0
43665,Austria,Cellular Others,0
43666,Austria,Cellular Others,0
43667,Austria,Cellular Others,0
43668,Austria,Cellular Others,0
43669,Austria,Cellular Others,0
4367,Austria,Cellular Others,0
43676,Austria,Cellular Tmobile,0
43677,Austria,Cellular Tmobile,0
4367833,Austria,Cellular Hutchinson,0
4367890,Austria,Cellular Hutchinson,0
4367891,Austria,Cellular Hutchinson,0
4368,Austria,Cellular Others,0
43680,Austria,Cellular A1,0
43681,Austria,Cellular Orange,0
43688,Austria,Cellular A1,0
4369,Austria,Cellular Others,0
43699,Austria,Cellular Orange,0
43710,Austria,Premium,0
43711,Austria,Premium,0
43718,Austria,Premium,0
43720,Austria,Premium,0
43730,Austria,Premium,0
43740,Austria,Premium,0
43780,Austria,Premium,0
43800,Austria,Premium,0
43804,Austria,Premium,0
43810,Austria,Premium,0
43820,Austria,Premium,0
43821,Austria,Premium,0
43828,Austria,Premium,0
4386034,Austria,Cellular Tmobile,0
4386061,Austria,Cellular Tmobile,0
4386064,Austria,Cellular Tmobile,0
4386134,Austria,Cellular Tmobile,0
4386164,Austria,Cellular Tmobile,0
438703411,Austria,Cellular Tmobile,0
438706411,Austria,Cellular Tmobile,0
438713411,Austria,Cellular Tmobile,0
438716411,Austria,Cellular Tmobile,0
994,Azerbaijan,,0
99412,Azerbaijan,Baku,0
99440,Azerbaijan,Cellular Catel,0
99444,Azerbaijan,Cellular,0
99450,Azerbaijan,Cellular Azercell,0
99451,Azerbaijan,Cellular Azercell,0
99455,Azerbaijan,Cellular Bakcell,0
99460,Azerbaijan,Cellular,0
99470,Azerbaijan,Cellular Azerphone,0
99477,Azerbaijan,Cellular Azerphone,0
1242,Bahamas,,0
1242357,Bahamas,Cellular,0
1242359,Bahamas,Cellular,0
1242375,Bahamas,Cellular,0
1242376,Bahamas,Cellular,0
1242395,Bahamas,Cellular,0
1242421,Bahamas,Cellular,0
1242422,Bahamas,Cellular,0
1242423,Bahamas,Cellular,0
1242424,Bahamas,Cellular,0
1242425,Bahamas,Cellular,0
1242426,Bahamas,Cellular,0
1242427,Bahamas,Cellular,0
1242428,Bahamas,Cellular,0
1242429,Bahamas,Cellular,0
1242431,Bahamas,Cellular,0
1242432,Bahamas,Cellular,0
1242433,Bahamas,Cellular,0
1242434,Bahamas,Cellular,0
1242435,Bahamas,Cellular,0
1242436,Bahamas,Cellular,0
1242437,Bahamas,Cellular,0
1242438,Bahamas,Cellular,0
1242439,Bahamas,Cellular,0
1242441,Bahamas,Cellular,0
1242442,Bahamas,Cellular,0
1242443,Bahamas,Cellular,0
1242445,Bahamas,Cellular,0
1242446,Bahamas,Cellular,0
1242447,Bahamas,Cellular,0
1242448,Bahamas,Cellular,0
1242449,Bahamas,Cellular,0
1242451,Bahamas,Cellular,0
1242452,Bahamas,Cellular,0
1242453,Bahamas,Cellular,0
1242454,Bahamas,Cellular,0
1242455,Bahamas,Cellular,0
1242456,Bahamas,Cellular,0
1242457,Bahamas,Cellular,0
1242458,Bahamas,Cellular,0
1242462,Bahamas,Cellular,0
1242463,Bahamas,Cellular,0
1242464,Bahamas,Cellular,0
1242465,Bahamas,Cellular,0
1242466,Bahamas,Cellular,0
1242467,Bahamas,Cellular,0
1242468,Bahamas,Cellular,0
1242470,Bahamas,Cellular,0
1242471,Bahamas,Cellular,0
1242472,Bahamas,Cellular,0
1242473,Bahamas,Cellular,0
1242474,Bahamas,Cellular,0
1242475,Bahamas,Cellular,0
1242476,Bahamas,Cellular,0
1242477,Bahamas,Cellular,0
1242478,Bahamas,Cellular,0
1242479,Bahamas,Cellular,0
1242481,Bahamas,Cellular,0
