Code,Country,Description,Rate
93,,,1.5
937,,Cellular Others,1
9370,,Cellular AWCC,1
9375,,Cellular AT,1
9377,,Cellular Areeba,1
9378,,Cellular Etisalat,1
9379,,Cellular Roshan,1
355,,,0.1
355422,,Tirana,0.1
355423,,Tirana,0.1
35566,,Cellular Plus,2.5
35567,,Cellular Eagle,2.5
35568,,Cellular AMC,2.5
35569,,Cellular Vodafone,2.5
213,,,2.3
21321,,Algiers,2.3
2135,,Cellular Wataniya,2.5
2136,,Cellular,2.5
21370,,Cellular Djezzy,2.5
21376,,Cellular Djezzy,2.5
21377,,Cellular Djezzy,2.5
213780,,Cellular Djezzy,2.5
213781,,Cellular Djezzy,2.5
2137899,,Cellular Djezzy,2.5
21379,,Cellular Djezzy,2.5
1684,,,18
16842,,Cellular,105
168473,,Cellular,105
376,,,11
3763,,Cellular,11
3764,,Cellular,11
3765,,Cellular,11
3766,,Cellular,11
244,,,13
2449,,Cellular,113
24491,,Cellular Movicell,113
24492,,Cellular Unitel,113
24493,,Cellular Unitel,113
24494,,Cellular Unitel,113
24499,,Cellular Movicell,113
1264,,,3213
1264235,,Cellular,2213
1264469,,Cellular,2213
1264476,,Cellular,2213
1264536,,Cellular,2213
1264537,,Cellular,2213
1264538,,Cellular,2213
1264539,,Cellular,2213
1264543,,Cellular,2213
126458,,Cellular,2213
1264581,,Cellular Digicel,2213
1264582,,Cellular Digicel,2213
1264583,,Cellular Digicel,2213
1264584,,Cellular Digicel,2213
1264729,,Cellular,2213
1264772,,Cellular,2213
672,,,33
6723,,,0.25
1268,,,0
1268464,,Cellular,0
1268716,,Cellular,0
1268717,,Cellular,0
1268718,,Cellular,0
1268719,,Cellular,0
126872,,Cellular,0
1268720,,Cellular Digicel,0
1268721,,Cellular Digicel,0
1268722,,Cellular Digicel,0
1268724,,Cellular Digicel,0
1268725,,Cellular Digicel,0
1268726,,Cellular Digicel,0
1268732,,Cellular,0
1268734,,Cellular,0
1268736,,Cellular,0
1268764,,Cellular,0
126877,,Cellular,0
126878,,Cellular,0
1268783,,Cellular Digicel,0
1268785,,Cellular Digicel,0
1268788,,Cellular Digicel,0
54,,,0
5411,,Buenos Aires,0
54221,,La Plata,0
54223,,Mar Del Plata,0
542293,,Cities,0
54230,,La Pampa,0
542302,,Cities,0
54232,,Pilar,0
542323,,Lujan,0
542362,,Cities,0
54237,,Cities,0
54261,,Mendoza,0
542652,,San Luis,0
542664,,San Luis,0
54291,,Bahia Blanca,0
54299,,Neuquen,0
54332,,Cities,0
54341,,Rosario,0
54342,,Santa Fe,0
54343,,Cities,0
543461,,Cities,0
543462,,Cities,0
543464,,Cities,0
543476,,Cities,0
54348,,Zarate,0
543489,,Campana,0
54351,,Cordoba,0
543541,,Cities,0
543543,,Cities,0
543571,,Cities,0
54358,,Cordoba,0
54362,,Resistencia,0
54372,,Cities,0
543722,,Resistencia,0
